Date,Portfolio Value
2021-03-31,175269.62208412602
2021-04-01,176449.05215894413
2021-04-05,179011.86997800556
2021-04-06,179069.5449492467
2021-04-07,179298.18852797814
2021-04-09,182181.1211367794
2021-04-12,182575.36734096272
2021-04-13,183431.67245707405
2021-04-14,182351.25652114127
2021-04-15,184700.47151582604
2021-04-16,185620.31921419906
2021-04-19,184558.81483943207
2021-04-20,182782.80817438857
2021-04-21,184617.38543434266
2021-04-22,182756.47267987873
2021-04-23,183885.42084442385
2021-04-26,184475.64551065754
2021-04-27,184240.21648733667
2021-04-28,184688.8572773347
2021-04-29,185221.94584086162
2021-04-30,183647.01295291024
2021-05-03,183537.77950031933
2021-05-04,181968.35202814723
2021-05-05,182546.86448206357
2021-05-06,184477.5732575652
2021-05-07,185427.67714479426
2021-05-10,183604.8399107867
2021-05-11,182056.7628686275
2021-05-12,178566.84796844353
2021-05-13,180811.91879790844
2021-05-14,183766.97817788855
2021-05-17,183805.64577406086
2021-05-18,182027.22856125346
2021-05-19,182032.41627615847
2021-05-21,183946.2754557987
2021-05-24,186118.4546301469
2021-05-25,185407.2438012658
2021-05-26,185514.29752964093
2021-05-27,185590.26325403052
2021-05-28,187108.66845817454
2021-06-01,187458.66715495253
2021-06-02,188370.7736494859
2021-06-03,188286.5532351134
2021-06-04,190348.2342384015
2021-06-07,189786.6752666863
2021-06-08,189917.9977952133
2021-06-09,189345.34503105856
2021-06-10,190242.0639643109
2021-06-11,191079.7252313372
2021-06-14,191086.32975191306
2021-06-15,190415.50074806402
2021-06-16,189821.31527248255
2021-06-17,190427.73832175182
2021-06-18,187829.44376389502
2021-06-21,190089.07628565084
2021-06-22,190868.0726700083
2021-06-23,190583.09962345057
2021-06-24,191678.85404356252
2021-06-25,191919.22692846364
2021-06-28,192385.76110506206
2021-06-29,192669.35122034574
2021-06-30,193124.39090112166
2021-07-01,194223.28850290942
2021-07-06,196542.09001487974
2021-07-07,197357.62320610607
2021-07-08,195253.23053877588
2021-07-09,197754.2609342468
2021-07-12,198140.00163648318
2021-07-13,197801.82811106992
2021-07-14,198727.54966034563
2021-07-15,198032.4504373974
2021-07-16,196054.99715075322
2021-07-19,192129.36521158903
2021-07-20,194707.3847446486
2021-07-21,196686.87389696704
2021-07-22,197370.2840143018
2021-07-23,198635.44535727022
2021-07-26,198947.4072105755
2021-07-27,198443.7574761184
2021-07-28,197346.16404628154
2021-07-29,198159.75548027232
2021-07-30,196339.40951218668
2021-08-02,195410.13814386807
2021-08-03,196073.64399702896
2021-08-04,195409.9172419719
2021-08-05,197116.5286199217
2021-08-06,197487.98268962596
2021-08-09,196938.5110539738
2021-08-10,196342.26992760244
2021-08-11,196696.75756492786
2021-08-12,197580.3558997889
2021-08-13,197910.74305192393
2021-08-17,197280.7870041186
2021-08-18,194864.95517240936
2021-08-19,196005.20917598874
2021-08-20,197862.54854549753
2021-08-23,199895.79912527598
2021-08-24,200136.5766540828
2021-08-25,200883.29510534683
2021-08-26,200320.71012348807
2021-08-27,201693.3481095813
2021-08-30,201898.0925728302
2021-08-31,201941.8499833739
2021-09-01,202003.87100654986
2021-09-02,201682.52203926185
2021-09-03,201852.3355595631
2021-09-07,200681.22155303435
2021-09-08,200567.4817518878
2021-09-09,199116.00183772377
2021-09-10,197599.40606218216
2021-09-13,198000.53978878274
